                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.91187,                 1.5175,                 1.4268,                0.79687,                0.78867,                0.82417,                0.61814,                0.83334,                 0.8192,                 1.3304,               0.003323,               0.003323,               0.003323
                      1,                0.89586,                 1.0438,                 1.3718,                0.87261,                0.80371,                0.88579,                0.62501,                0.97652,                0.85235,                 1.4464,              0.0066498,              0.0066498,              0.0066498
                      2,                0.98829,                 1.1826,                 1.4249,                0.68468,                 0.7714,                0.77523,                0.51298,                 1.1687,                 1.3031,                 1.6784,              0.0099699,              0.0099699,              0.0099699
                      3,                 1.1067,                 1.3632,                 1.5214,                 0.7918,                0.67227,                0.75141,                0.47676,                 1.2276,                 1.3179,                 1.7764,              0.0099703,              0.0099703,              0.0099703
                      4,                 1.1412,                 1.3767,                 1.5727,                0.67924,                0.74709,                0.75818,                0.49166,                 1.1678,                 1.2819,                 1.6998,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.1266,                 1.3396,                 1.5313,                0.79835,                0.70787,                0.80267,                0.53691,                 1.1285,                 1.1691,                 1.6276,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.0989,                 1.2728,                  1.518,                0.82337,                0.74197,                0.80164,                0.54373,                  1.104,                 1.1872,                 1.5996,              0.0099505,              0.0099505,              0.0099505
                      7,                  1.067,                 1.2358,                 1.4911,                0.82968,                0.79798,                0.86137,                0.58566,                 1.0513,                0.92748,                 1.5193,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.0575,                 1.1742,                 1.4734,                0.82895,                0.78904,                0.86264,                0.59775,                 1.0452,                0.91213,                 1.5305,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.0318,                 1.1074,                 1.4566,                 0.8709,                 0.7913,                0.87463,                0.60594,                 1.0288,                0.91854,                 1.5212,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.0211,                 1.1081,                 1.4402,                 0.8297,                 0.7893,                0.88286,                0.60647,                 1.0434,                0.89729,                 1.5046,              0.0099109,              0.0099109,              0.0099109
                     11,                  1.006,                 1.0879,                  1.437,                0.83162,                0.84266,                0.88867,                  0.634,                0.98265,                 0.8135,                 1.4588,               0.009901,               0.009901,               0.009901
                     12,                0.99158,                 1.0513,                 1.4337,                0.85114,                0.83206,                0.88706,                0.63205,                0.97317,                0.82025,                 1.4571,              0.0098911,              0.0098911,              0.0098911
                     13,                0.97634,                 1.0305,                 1.4142,                   0.88,                0.83935,                0.90129,                0.65128,                0.95237,                0.77028,                   1.43,              0.0098812,              0.0098812,              0.0098812
                     14,                0.96763,                 1.0084,                 1.4019,                0.87904,                0.82013,                0.89167,                0.63095,                0.95089,                0.78464,                 1.4314,              0.0098713,              0.0098713,              0.0098713
                     15,                0.96268,                 1.0095,                 1.3938,                0.89711,                0.85341,                0.91641,                0.68152,                 0.9058,                0.70244,                 1.3785,              0.0098614,              0.0098614,              0.0098614
                     16,                0.95216,                 0.9917,                 1.3889,                0.87599,                0.84146,                0.91277,                0.66467,                0.90777,                0.73469,                 1.3755,              0.0098515,              0.0098515,              0.0098515
                     17,                0.93243,                0.93336,                  1.378,                0.89671,                 0.8539,                0.91545,                0.67649,                0.94045,                 0.7179,                 1.4087,              0.0098416,              0.0098416,              0.0098416
